CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B6_GLCA_Dny_BSH2_48h.raw
Data points: 2907
Time(min),Relative Abundance
0.003720032,0
0.008344951,0
0.011490765,0
0.01381365,0
0.016138648,0
0.018461533,0
0.020784449,0
0.023109451,0
0.025432316,0
0.027755232,0
0.030080218,0
0.032403115,0
0.034728117,0
0.037051017,0
0.049315531,0
0.053548816,0
0.0558717,0
0.058196683,0
0.060519583,0
0.062842468,0
0.065167466,0
0.067490366,0
0.069813282,0
0.072138233,0
0.074461149,0
0.076786152,0
0.079109016,0
0.081431932,0
0.083756899,0
0.086079835,0
0.0884027,0
0.096671402,0
0.10090263,0
0.10322553,0
0.1055505,0
0.10787342,0
0.11019632,0
0.1125213,0
0.11484418,0
0.11716708,0
0.11949208,0
0.12181497,0
0.12413998,0
0.12646285,0
0.12878577,0
0.13111075,0
0.13343365,0
0.13575657,0
0.13808153,0
0.14040443,0
0.1427294,0
0.14505232,0
0.14737522,0
0.1497002,0
0.1520231,0
0.154346,0
0.15667098,0
0.15899387,0
0.16131888,0
0.16364178,0
0.16596467,0
0.16828965,0
0.17061253,0
0.17545003,0
0.17777293,0
0.1800979,0
0.1824208,0
0.1847437,0
0.1870687,0
0.18939158,0
0.19171658,0
0.19403947,0
0.19636237,0
0.19868737,0
0.20101025,0
0.20333317,0
0.20565813,0
0.20798102,0
0.2134789,0
0.22236223,0
0.22659342,0
0.22891632,0
0.2312413,0
0.2335642,0
0.23588712,0
0.23821208,0
0.24053498,0
0.24285995,0
0.24518287,0
0.24750577,0
0.24983075,0
0.25215367,0
0.25447653,0
0.2593162,0
0.26163898,0
0.26718687,0
0.27142227,0
0.27374517,0
0.27607013,0
0.27839305,0
0.28071597,0
0.28304092,0
0.28536383,0
0.28768673,0
0.29001172,0
0.29233462,0
0.2946596,0
0.2969825,0
0.2993054,0
0.30163037,0
0.3039533,0
0.30627617,0
0.30860118,0
0.31092408,0
0.31324696,0
0.31557195,0
0.31789485,0
0.32021983,0
0.32254275,0
0.32486563,0
0.32719062,0
0.3295135,0
0.33183642,0
0.3341614,0
0.33648433,0
0.33880928,0
0.34363855,0
0.3459634,0
0.34828632,0
