CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_G7_GDCA_EcAZ-1-cat_48h.raw
Data points: 2835
Time(min),Relative Abundance
0.003743485,0
0.008580986,0
0.011682982,0
0.014007969,0
0.016330849,0
0.01865375,0
0.020978752,0
0.023301632,0
0.025624553,0
0.027949519,0
0.030272415,0
0.032597418,0
0.034920302,0
0.037243183,0
0.046130736,0
0.050363949,0
0.052686849,0
0.055011836,0
0.057334752,0
0.059657632,0
0.061982619,0
0.064305519,0
0.066628435,0
0.068953402,0
0.071276302,0
0.073599203,0
0.075924185,0
0.078247085,0
0.080572068,0
0.082894968,0
0.085217884,0
0.087542851,0
0.092390783,0
0.094713635,0
0.097036536,0
0.099361534,0
0.10168442,0
0.1040094,0
0.1063323,0
0.1086552,0
0.1109802,0
0.1133031,0
0.115626,0
0.11795097,0
0.12027387,0
0.12259885,0
0.12492175,0
0.12724467,0
0.12956963,0
0.13189255,0
0.13421545,0
0.13654042,0
0.13886333,0
0.1411883,0
0.1435112,0
0.1458341,0
0.1481591,0
0.15048198,0
0.1528049,0
0.15512987,0
0.15745279,0
0.15977778,0
0.16210065,0
0.16442357,0
0.16674855,0
0.16907145,0
0.17139434,0
0.17622563,0
0.17855055,0
0.18087343,0
0.18319633,0
0.18552132,0
0.18784424,0
0.19016713,0
0.19249212,0
0.19481502,0
0.19713792,0
0.1994629,0
0.2017858,0
0.20411077,0
0.20643367,0
0.21193155,0
0.21743363,0
0.2216669,0
0.2239898,0
0.22631272,0
0.2286377,0
0.23096057,0
0.23328559,0
0.23560847,0
0.23793139,0
0.24025635,0
0.24257925,0
0.24490425,0
0.24722712,0
0.24955005,0
0.25187505,0
0.25419792,0
0.25903962,0
0.26136247,0
0.26368743,0
0.26601035,0
0.26833324,0
0.27065823,0
0.27298113,0
0.27530402,0
0.277629,0
0.27995192,0
0.2822769,0
0.28459978,0
0.28692272,0
0.28924768,0
0.2915706,0
0.29389348,0
0.29621845,0
0.29854137,0
0.30086425,0
0.30318923,0
0.30551213,0
0.30783715,0
0.31016003,0
0.31248293,0
0.31480792,0
0.31713082,0
0.31945374,0
0.32177868,0
0.32410162,0
0.3264266,0
0.3287495,0
0.33107239,0
0.33339738,0
0.33572025,0
0.33804317,0
0.34288275,0
0.3452077,0
0.3475306,0
0.3498535,0
0.35217849,0
0.3545014,0
0.35682432,0
0.35914927,0
0.36147218,0
0.36379715,0
0.36612007,0
0.36844295,0
0.37375752,0
0.37740747,0
0.38881155,0
0.4078135,0
0.42567382,0
0.4450424,0
0.46403185,0
0.48030257,0
0.49836078,0
0.51685857,0
0.53591258,0
0.55492498,0
0.57391648,0
0.59273303,0
0.6097725,0
0.62531822,0
0.64291809,0
0.66094922,0
0.67661787,0
0.69778855,0
0.71301968,0
0.73042165,0
0.74655695,0
0.76429015,0
0.78232962,0
0.80088988,0
0.81840642,0
0.8353084,0
0.85387288,0
0.87227482,0
0.89141425,0
0.91063703,0
0.9297119,0
0.95123258,0
0.97051997,0
0.98972813,0
1.0089384,0
1.0272946,0
1.045184,0
1.0642943,0
1.0834379,0
1.1028045,0
1.1233689,0
1.1426937,0
1.1616186,0
1.1807705,0
1.2003892,0
1.2185057,0
1.2359827,0
1.2552367,0
1.2771303,0
1.2964822,0
1.3157279,0
1.334982,0
1.353586,0
1.3755671,0
1.3938586,0
1.4131356,0
1.4321896,0
1.4541853,0
1.4713518,0
1.4882913,0
1.5040474,0
1.522564,0
1.537416,0
1.5518388,0
1.5641533,0
1.5779261,0
1.5896677,0
1.6059717,0
1.6172258,0
1.6303986,0
1.6431631,0
1.6608963,0
1.6749483,0
1.691217,0
1.7053731,0
1.7226418,0
1.7334833,0
1.7494478,0
1.7644894,0
1.778883,0
1.7940662,0
1.8102057,0
1.8269535,0
1.8394263,0
1.8539783,0
1.8642137,0
1.8786094,436110.75
1.8941176,0
1.9079425,546790.875
1.9176904,0
1.931084,265763.625
1.9445527,396237.71875
1.9608775,978427
1.9771295,964775.25
1.9924836,1099927.625
2.0089377,441006.65625
2.0261188,0
2.043027,0
2.0587477,0
2.0719935,0
2.0886621,0
2.1091182,0
2.1274764,0
2.146795,0
2.1654115,0
2.1839781,0
2.2023071,0
2.2177966,0
2.2354569,0
2.2535297,0
2.2724629,0
2.2915106,0
2.3094334,0
2.3289854,0
2.3484415,0
2.3694768,0
2.3838267,0
2.4034307,0
2.4229806,0
2.444645,0
2.4607344,0
2.4799947,0
2.4994842,0
2.5186215,0
2.5411151,0
2.5595546,0
2.5788524,0
2.5984398,0
2.6197209,0
2.6393269,0
2.6589205,0
2.6785142,0
2.6981307,0
2.7178243,0
2.7375408,0
2.7570074,0
2.7794572,0
2.7991279,0
2.8185632,0
2.8381276,0
2.8602337,0
2.879819,0
2.8983793,0
2.9178625,0
2.9364749,0
2.9544351,0
2.9740329,0
2.9929119,0
2.9975515,0
3.0166556,0
3.0389325,0
3.0588802,0
3.0786343,0
3.0984529,0
3.1147444,0
3.1343464,0
3.1542337,0
3.1737524,0
3.1958626,0
3.2153062,0
3.2349269,0
3.2546664,0
3.2747558,0
3.2862912,0
3.3048139,0
3.3081597,0
3.3245471,0
3.3326242,0
3.3361221,0
3.3394553,0
3.3511574,0
3.3545574,0
3.3579615,0
3.3613344,0
3.3644302,0
3.3690698,0
3.3761801,0
3.3832655,0
3.3903092,0
3.3938425,0
3.3969258,0
3.4084632,0
3.4116778,0
3.4149965,0
3.4231506,0
3.4266881,0
3.4298547,0
3.4331505,0
3.4364838,0
3.4446713,0
3.4528608,0
3.4562046,0
3.4595337,0
3.4677961,0
3.4711357,0
3.474496,0
3.4776357,0
3.4799585,0
3.4822835,0
3.487021,0
3.4905418,0
3.4937459,0
3.4984355,0
3.5055146,0
3.5130583,0
3.5165478,0
3.5196499,0
3.5313123,0
3.5473497,0
3.5633309,0
3.5774662,0
3.5889932,0
3.5964744,0
3.5998348,0
3.603216,0
3.6065681,0
3.6147888,0
3.6218784,0
3.6265305,0
3.6453303,0
3.6485448,0
3.6648343,0
3.6681656,0
3.671503,0
3.6789217,0
3.6860904,0
3.6896862,0
3.6930674,0
3.6978903,0
3.7014903,0
3.7061799,0
3.7100361,0
3.7132632,0
3.715586,0
3.717911,0
3.7262276,0
3.7302443,0
3.7333692,0
3.7382588,0
3.7421984,0
3.74524,0
3.7475629,0
3.7558316,0
3.7667045,0
3.7807398,0
3.7913585,0
3.8018729,0
3.8134416,0
3.8167062,0
3.8307103,0
3.8338748,0
3.8409497,0
3.8518997,0
3.8659704,0
3.8765537,0
3.8870807,0
3.9065389,0
3.9262158,0
3.9406782,0
3.9488823,0
3.9520448,0
3.9553864,0
3.960076,0
3.9633156,0
3.966726,0
3.9700842,0
3.9781092,0
3.9816571,0
3.9848029,0
3.9929903,10161.080078125
3.9965216,0
3.9996049,0
4.0043132,0
4.0079694,0
4.0110673,0
4.0143381,0
4.0176943,0
4.0209755,0
4.029213,0
4.0339671,0
4.0410713,0
4.0445754,0
4.0477712,0
4.0500962,0
4.0524191,0
4.054742,0
4.0594753,0
4.0642315,0
4.0678378,0
4.0712356,0
4.0744231,0
4.0790668,0
4.0828251,0
4.0859585,0
4.0882814,0
4.0957167,0
4.0993438,0
4.1025354,0
4.1072416,0
4.1107083,0
4.114002,0
4.1170937,0
4.1204311,0
4.1251873,0
4.1283561,0
4.1316935,0
4.1350331,0
4.1381956,0
4.1428351,0
4.1462476,0
4.1494226,0
4.1576475,0
4.164785,0
4.1682287,0
4.1713933,0
4.1822869,0
4.1894265,0
4.1926765,0
4.1959514,0
4.207743,0
4.2158825,0
4.2229346,0
4.2262325,0
4.2293699,0
4.2365032,0
4.2435865,0
4.2517281,0
4.2549489,0
4.2585801,0
4.2617218,0
4.2640468,0
4.2663697,0
4.2686926,0
4.2710175,0
4.2757842,0
4.2792738,0
4.2824696,0
4.2847925,0
4.2871174,0
4.2894403,0
4.2917632,0
4.2940882,0
4.3022527,0
4.3057548,0
4.3138423,0
4.320861,0
4.3242068,0
4.3275088,0
4.3306692,0
4.3339859,0
4.3422754,0
4.3470733,0
4.3504774,0
4.3538003,0
4.3569774,0
4.3603794,0
4.3635065,0
4.3718273,0
4.3789647,0
4.386123,0
4.3932771,0
4.3969271,0
4.3999979,0
4.4081853,0
4.4114561,0
4.4230957,0
4.4338414,0
4.4478829,0
4.4676349,0
4.4897431,0
4.4978535,0
4.5119575,0
4.5260512,0
4.5330907,0
4.5470469,0
4.5612093,0
4.5642301,0
4.56748,0
4.5705425,0
4.5737842,0
4.5770383,0
4.5801112,0
4.5881486,0
4.5929653,0
4.5962882,0
4.6069798,0
4.6232192,0
4.6397129,0
4.659421,0
4.6755814,0
4.6915167,0
4.7021874,0
4.7128624,0
4.7326101,0
4.7468163,0
4.7573246,0
4.7705911,0
4.7846493,0
4.800918,0
4.8126554,0
4.8196574,0
4.8245032,0
4.8277845,0
4.8308823,0
4.8356365,0
4.8403927,0
4.8478031,0
4.8525259,0
4.8641301,0
4.8713112,0
4.87453,0
4.8778279,0
4.8812508,0
4.8843674,0
4.887759,0
4.8911757,0
4.8960152,0
4.8996527,0
4.9029715,0
4.9052964,0
4.910186,0
4.9140338,0
4.9171588,0
4.9194838,0
4.9243151,0
4.9282004,0
4.9328712,0
4.936617,0
4.939692,0
4.9444483,0
4.9479982,0
4.9512961,0
4.9629169,0
4.9662127,0
4.9695355,0
4.9742251,0
4.9777126,0
4.9810126,0
