CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H4_TUDCA_ctrl_48h.raw
Data points: 2987
Time(min),Relative Abundance
0.003718363,0
0.008422449,0
0.011476599,0
0.013801582,0
0.016124482,0
0.018447382,0
0.020772349,0
0.023095249,0
0.025420248,0
0.027743148,0
0.030066032,0
0.032391031,0
0.034713931,0
0.037036815,0
0.045943049,0
0.050176417,0
0.052499214,0
0.054824196,0
0.057147097,0
0.059470017,0
0.061794984,0
0.06411788,0
0.066442882,0
0.068765798,0
0.071088683,0
0.073413665,0
0.07573655,0
0.07805945,0
0.080384448,0
0.082707349,0
0.085032331,0
0.087355216,0
0.092198947,0
0.094521832,0
0.096846814,0
0.099169714,0
0.10149263,0
0.10381762,0
0.1061405,0
0.1084634,0
0.11078838,0
0.11311128,0
0.11543416,0
0.11775918,0
0.12008208,0
0.12240705,0
0.12472997,0
0.12705285,0
0.12937786,0
0.13170073,0
0.13402365,0
0.13634862,0
0.13867153,0
0.1409965,0
0.14331942,0
0.14564232,0
0.14796728,0
0.1502902,0
0.15261308,0
0.15493808,0
0.15726098,0
0.15958595,0
0.16190886,0
0.16423175,0
0.16655675,0
0.16887963,0
0.17120253,0
0.1760442,0
0.17836916,0
0.18069206,0
0.18301496,0
0.18533993,0
0.18766285,0
0.18998575,0
0.19231073,0
0.19463363,0
0.19695863,0
0.19928153,0
0.20160441,0
0.20392943,0
0.2062523,0
0.21175016,0
0.21724602,0
0.22147718,0
0.2238001,0
0.22612508,0
0.22844796,0
0.23077088,0
0.23309586,0
0.23541876,0
0.23774165,0
0.24006665,0
0.24238953,0
0.24471453,0
0.24703743,0
0.24936031,0
0.2516853,0
0.2540082,0
0.25884775,0
0.26117066,0
0.26349565,0
0.26581856,0
0.26814145,0
0.27046641,0
0.27278933,0
0.27511221,0
0.27743721,0
0.27976011,0
0.28208512,0
0.284408,0
0.2867309,0
0.28905588,0
0.29137876,0
0.29370168,0
0.29602667,0
0.29834957,0
0.30067456,0
0.30299745,0
0.30532035,0
0.30764533,0
0.30996823,0
0.31229113,0
0.31461613,0
0.31693902,0
0.31926193,0
0.3215869,0
0.3239098,0
0.3262348,0
0.32855768,0
0.3308806,0
0.33320558,0
0.33552846,0
0.33785135,0
0.34269095,0
0.34501382,0
0.3473388,0
0.3496617,0
0.35198462,0
0.3543096,0
0.35663248,0
0.35895748,0
0.36128038,0
0.36360328,0
0.36592825,0
0.37059907,0
0.3809844,0
0.38901141,0
0.40805295,0
0.42299243,0
0.44316937,0
0.46020465,0
0.47767537,0
0.49349192,0
0.51086682,0
0.52626252,0
0.54528532,0
0.56430391,0
0.58330588,0
0.5939329,0
0.6056474,0
0.61761192,0
0.63259928,0
0.64812625,0
0.66373655,0
0.6799198,0
0.6957551,0
0.71134038,0
0.72483822,0
0.74062768,0
0.75490883,0
0.76927335,0
0.7849253,0
0.80189392,0
0.8192334,0
0.8345437,0
0.85246237,0
0.86956636,0
0.88775165,0
0.90683693,0
0.92598888,0
0.94712415,0
0.96626568,0
0.98544886,0
1.004605,0
1.0230028,0
1.0388985,0
1.0580588,0
1.0761003,0
1.0943877,0
1.1124188,0
1.1283145,0
1.1475769,0
1.1652768,0
1.1845829,0
1.2033786,0
1.2225368,0
1.2402638,0
1.2594199,0
1.2792155,0
1.2984404,0
1.317582,0
1.3367756,0
1.3547171,0
1.3739566,0
1.392196,0
1.4088667,0
1.4275854,0
1.4463894,0
1.4638518,0
1.4827579,0
1.4960891,0
1.5077035,0
1.5260992,0
1.5379721,0
1.5499783,0
1.5649323,0
1.5799676,0
1.5902405,0
1.6047071,0
1.6171673,0
1.6303422,0
1.6421963,0
1.6564275,0
1.6700399,0
1.6844315,0
1.6952147,0
1.7116688,0
1.7291811,0
1.7425894,0
1.7540372,0
1.7708434,0
1.7880495,0
1.7990453,0
1.8132785,0
1.8321492,0
1.8469949,0
1.861076,0
1.8725135,0
1.8886342,0
1.9028674,0
1.9147924,0
1.9277089,0
1.9400109,0
1.9549025,0
1.9682003,0
1.9839898,0
2.0009438,0
