CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H2_TDCA_ctrl_48h.raw
Data points: 2940
Time(min),Relative Abundance
0.003809467,0
0.008436516,0
0.011582282,0
0.013905167,0
0.016230169,0
0.018553065,0
0.020875986,0
0.023200952,0
0.025523852,0
0.027846733,0
0.030171735,0
0.032494616,0
0.034819602,0
0.037142483,0
0.046063283,0
0.050284099,0
0.052606999,0
0.054931966,0
0.057254886,0
0.059577766,0
0.061902749,0
0.064225649,0
0.066550635,0
0.068873552,0
0.071196432,0
0.073521419,0
0.075844319,0
0.078169301,0
0.080492218,0
0.082815082,0
0.085140116,0
0.087462969,0
0.092296401,0
0.094619202,0
0.096942082,0
0.099267085,0
0.10158997,0
0.1039129,0
0.10623787,0
0.10856075,0
0.11088575,0
0.11320865,0
0.11553154,0
0.11785653,0
0.12017942,0
0.12250232,0
0.12482732,0
0.12715022,0
0.12947518,0
0.1317981,0
0.13412098,0
0.13644597,0
0.13876888,0
0.14109178,0
0.14341677,0
0.14573967,0
0.14806465,0
0.15038753,0
0.15271043,0
0.15503544,0
0.15735834,0
0.15968124,0
0.16200622,0
0.1643291,0
0.1666541,0
0.168977,0
0.17129989,0
0.17613122,0
0.17845402,0
0.18077692,0
0.1831019,0
0.18542482,0
0.1877477,0
0.19007268,0
0.1923956,0
0.19472057,0
0.19704347,0
0.19936637,0
0.20169135,0
0.20401425,0
0.20633715,0
0.21183918,0
0.21733712,0
0.2215662,0
0.22389119,0
0.2262141,0
0.228537,0
0.23086198,0
0.23318489,0
0.23550779,0
0.23783275,0
0.24015567,0
0.24248065,0
0.24480355,0
0.24712644,0
0.24945142,0
0.25177432,0
0.25409722,0
0.2589306,0
0.26125344,0
0.26357635,0
0.26590132,0
0.26822422,0
0.27054712,0
0.2728721,0
0.27519499,0
0.27751998,0
0.27984288,0
0.28216578,0
0.28449077,0
0.28681368,0
0.28913657,0
0.29146153,0
0.29378445,0
0.29610943,0
0.29843235,0
0.30075523,0
0.30308022,0
0.30540312,0
0.30772602,0
0.310051,0
0.31237388,0
0.31469888,0
0.31702182,0
0.31934468,0
0.32166967,0
0.32399255,0
0.32631549,0
0.32864043,0
0.33096338,0
0.33328832,0
0.33561127,0
0.33793414,0
0.3427738,0
0.3450966,0
0.34741948,0
0.34974445,0
0.35206737,0
0.35439027,0
0.35671525,0
0.35903817,0
0.36136105,0
0.36368605,0
0.36600893,0
0.3683339,0
0.37978383,0
0.39545247,0
0.4141315,0
0.43192513,0
0.4519229,0
0.46818737,0
0.48449142,0
0.50111007,0
0.52010158,0
0.53912853,0
0.55659093,0
0.57562203,0
0.58979277,0
0.60077812,0
0.61142178,0
0.62487168,0
0.64131323,0
0.65635897,0
0.67359427,0
0.6900004,0
0.70631487,0
0.71849605,0
0.73378133,0
0.74772083,0
0.75942285,0
0.77389357,0
0.79144758,0
0.80878498,0
0.8237828,0
0.8393306,0
0.85885754,0
0.87801783,0
0.89635518,0
0.91548839,0
0.93453827,0
0.9559506,0
0.9738338,0
0.99301077,0
1.0110648,0
1.0313376,0
1.0482896,0
1.0665103,0
1.0846664,0
1.1039079,0
1.1184641,0
1.1351869,0
1.1544534,0
1.1736345,0
1.1942573,0
1.2133363,0
1.2324966,0
1.249336,0
1.2684713,0
1.2903753,0
1.3096106,0
1.3274292,0
1.3445645,0
1.3637519,0
1.382083,0
1.4013225,0
1.4206036,0
1.4404243,0
1.4586846,0
1.476874,0
1.4911843,0
1.5034447,0
1.5186258,0
1.5345549,0
