CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E4_TUDCA_Ep_BSH101_48h.raw
Data points: 2891
Time(min),Relative Abundance
0.003710984,0
0.008338101,0
0.01148585,0
0.013808766,0
0.016131682,0
0.018456669,0
0.020779569,0
0.02310245,0
0.025427436,0
0.027750352,0
0.030075335,0
0.032398219,0
0.034721135,0
0.037046102,0
0.049308585,0
0.053541834,0
0.055864735,0
0.058189717,0
0.060512617,0
0.062835502,0
0.0651605,0
0.0674834,0
0.069806301,0
0.072131267,0
0.074454168,0
0.076779166,0
0.079102066,0
0.081424983,0
0.083749969,0
0.086072834,0
0.088395734,0
0.093237399,0
0.095560284,0
0.097885266,0
0.10020818,0
0.10253108,0
0.10485603,0
0.10717895,0
0.10950392,0
0.11182683,0
0.11414975,0
0.11647473,0
0.11879764,0
0.12112054,0
0.1234455,0
0.1257684,0
0.12809338,0
0.1304163,0
0.1327392,0
0.13506417,0
0.13738708,0
0.13970997,0
0.14203497,0
0.14435785,0
0.14668285,0
0.14900575,0
0.15132863,0
0.15365363,0
0.15597653,0
0.15829943,0
0.1606244,0
0.1629473,0
0.1652702,0
0.1675952,0
0.16991812,0
0.17224307,0
0.17708262,0
0.17940762,0
0.1817305,0
0.1840534,0
0.18637838,0
0.1887013,0
0.19102418,0
0.19334919,0
0.19567209,0
0.19799705,0
0.20031997,0
0.20264285,0
0.20496784,0
0.20729074,0
0.21278862,0
0.22168237,0
0.2259177,0
0.22824062,0
0.23056558,0
0.23288847,0
0.23521138,0
0.23753635,0
0.23985927,0
0.24218215,0
0.24450715,0
0.24683007,0
0.24915504,0
0.25147792,0
0.25380083,0
0.25612583,0
0.2609633,0
0.26328827,0
0.26561118,0
0.26793615,0
0.27025905,0
0.27258195,0
0.27490692,0
0.27722983,0
0.27955275,0
0.28187772,0
0.28420062,0
0.2865256,0
0.2888485,0
0.2911714,0
0.29349639,0
0.29581929,0
0.29814219,0
0.30046717,0
0.30279008,0
0.30511505,0
0.30743795,0
0.30976084,0
0.31208583,0
0.31440873,0
0.31673165,0
0.31905663,0
0.32137953,0
0.32370452,0
0.3260274,0
0.3283503,0
0.33067528,0
0.3329982,0
0.3353211,0
0.33764607,0
0.34247945,0
0.34480437,0
0.34712725,0
0.34945015,0
0.35177513,0
0.35409803,0
0.35642302,0
0.35874592,0
0.36106884,0
0.3633938,0
0.3657167,0
0.36803962,0
0.37036457,0
0.37529582,0
0.38566863,0
0.3936915,0
0.41269552,0
0.43067249,0
0.45165567,0
0.47068262,0
0.48793042,0
0.50694485,0
0.52597807,0
0.54508,0
0.5641028,0
0.58316517,0
0.59734423,0
0.6137712,0
0.62907108,0
0.6454043,0
0.66249168,0
0.6789624,0
0.69697063,0
0.7150059,0
0.73264329,0
0.74743485,0
0.76102434,0
0.77602423,0
0.7944491,0
0.81314062,0
0.82924883,0
0.84736748,0
0.86574652,0
0.8848568,0
0.90400248,0
0.92307527,0
0.94436262,0
0.96366042,0
0.98278944,0
1.0019685,0
1.0200954,0
1.0408661,0
1.0569202,0
1.07612,0
1.095322,0
1.1134781,0
1.1325446,0
1.1518716,0
1.1708589,0
1.1928817,0
1.2098149,0
1.2279773,0
1.2452897,0
1.2645312,0
1.2846415,0
1.3039184,0
1.3231391,0
1.3424432,0
1.3616451,0
1.3808554,0
1.3999282,0
1.4191301,0
1.4408508,0
1.4579798,0
1.4750776,0
1.4914213,0
1.5098232,0
1.5261169,0
1.5398126,0
1.5512334,0
1.563152,0
1.5773374,0
1.5932227,0
1.6078434,0
1.6201016,0
1.6317058,0
1.6474556,0
1.6626701,0
1.676945,0
1.6904657,0
1.7027073,0
1.7202134,0
1.7321571,0
1.7466049,0
1.7624715,0
1.7785776,0
1.7921087,0
1.8073378,0
1.8237981,0
1.8384293,0
1.8540833,0
1.8670582,0
1.8845352,0
1.8975851,0
1.9093558,0
1.9247536,0
1.9367806,0
1.9504868,0
1.9660179,0
1.9832033,0
1.9988844,0
2.0168697,0
2.0327758,0
2.0482569,0
2.0634756,0
2.0787901,0
2.0928545,0
2.1143377,0
2.1305084,0
2.1499375,0
2.1682998,0
2.1864997,0
2.2058808,0
2.2211995,0
2.2394889,0
2.258893,0
2.280247,0
2.2997197,0
2.3192634,0
2.3389195,0
2.3602381,0
2.3798025,0
2.3958482,0
2.415246,0
2.4329709,0
2.4517083,0
2.4713456,0
2.4907934,0
2.5103995,0
2.532741,0
2.5522846,0
2.5720428,0
2.5916927,0
2.6140884,0
2.6337466,0
2.6532964,0
2.6729629,0
2.6925315,0
2.7121585,0
2.7318604,0
2.7515478,0
2.7712477,0
2.7933871,0
2.8129578,0
2.8324535,0
2.8519096,0
2.874049,0
2.8926135,0
2.9120321,0
2.927632,0
2.9472048,0
2.9656192,0
2.9848587,0
3.0045627,35290.46875
3.0268959,0
3.0466541,0
3.064856,0
3.0845913,0
3.1045641,0
3.1271514,0
3.1468305,0
3.1662407,0
3.1856448,0
3.2078779,0
3.2274986,0
3.2474589,0
3.2670025,0
3.2778441,0
3.2977919,0
3.309421,0
3.3176251,0
3.3212105,0
3.3246084,0
3.3269312,0
3.3292562,0
3.33405,0
3.3376229,0
3.341527,0
3.3438499,0
3.3461749,0
3.3484978,0
3.3508227,0
3.3555102,0
3.3602686,0
3.3708497,0
3.3755726,0
3.3860642,0
3.3894371,0
3.3925808,0
3.3972871,0
3.4007266,0
3.4040203,0
3.4086598,0
3.4119223,0
3.4153202,0
3.4234577,0
3.4308222,0
3.434243,0
3.4376305,0
3.4493679,0
3.452895,0
3.4559929,0
3.4607012,0
3.4677782,0
3.4748761,0
3.485401,0
3.4970551,0
3.5040967,0
3.5148008,0
3.5258111,0
3.5418548,0
3.5488526,0
3.559465,0
3.5700546,0
3.5731275,0
3.5763983,0
3.5835003,0
3.5868065,0
3.5941752,0
3.602346,0
3.6139167,0
3.6254917,0
3.6397207,0
3.6467728,0
3.6502915,0
3.653506,0
3.6619122,0
3.6691039,0
3.6763121,0
3.6804225,0
3.6832829,0
3.6856058,0
3.6879287,0
3.6902537,0
3.6951058,0
3.7022203,0
3.709264,0
3.7197744,0
3.7303805,0
3.7444117,0
3.7475575,0
3.7508762,0
3.7540095,0
3.7613719,0
3.764499,0
3.7677511,0
3.7708198,0
3.7789677,0
3.7860718,0
3.7976092,0
3.8046925,0
3.8163799,0
3.835986,0
3.8442277,0
3.8660108,0
3.8821315,0
3.8903523,0
3.9021585,0
3.9138834,0
3.9171209,0
3.9241542,0
3.9315166,0
3.9347999,0
3.9381186,0
3.9427582,0
3.9459623,0
3.9493206,0
3.9609393,0
3.9690601,0
3.9796642,0
3.9829183,0
3.9863391,0
3.9897016,0
3.9944578,0
3.9980432,0
4.001364,0
4.0096223,0
4.0131702,0
4.0163535,0
4.0186785,0
4.0210014,0
4.0233243,0
4.0256493,0
4.0279721,0
4.0302951,0
4.0326201,0
4.0349429,0
4.0372679,0
4.0395908,0
4.0419137,0
4.0442387,0
4.0558116,0
4.0591219,0
4.0624323,0
4.0658011,0
4.0689094,0
4.0712323,0
4.0735552,0
4.0758801,0
4.0782031,0
4.0805281,0
4.0828509,0
4.0851739,0
4.0874988,0
4.0900342,0
4.0923571,0
4.0946821,0
4.0993258,0
4.10288,0
4.1060049,0
4.1106445,0
4.1176528,0
4.1247423,0
4.131836,0
4.1364756,0
4.1436151,0
4.1469984,0
4.1503546,0
4.1534192,0
4.1616587,0
4.164767,0
4.1789003,0
4.1863773,0
4.1897419,0
4.1930356,0
4.1977772,0
4.2012085,0
4.2045188,0
4.2093188,0
4.2126084,0
4.2159521,0
4.2191375,0
4.2214625,0
4.2237854,0
4.2261083,0
4.2284333,0
4.2332228,0
4.2366832,0
4.2397978,0
4.2432019,0
4.2465185,0
4.249631,0
4.2543373,0
