CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F9_GUDCA_AZ-52_48h.raw
Data points: 2813
Time(min),Relative Abundance
0.003748567,0
0.008365134,0
0.011517234,0
0.013840098,0
0.016162999,0
0.018488001,0
0.020810881,0
0.023133802,0
0.025458784,0
0.027781684,0
0.030106667,0
0.032429567,0
0.034752467,0
0.037077434,0
0.045956615,0
0.050189868,0
0.052514834,0
0.054837751,0
0.057160615,0
0.059485633,0
0.061808518,0
0.064131418,0
0.066456401,0
0.071973017,0
0.076037601,0
0.078360465,0
0.080685484,0
0.083008368,0
0.085331284,0
0.087656251,0
0.092487585,0
0.094810382,0
0.097135368,0
0.099458264,0
0.10178116,0
0.10410612,0
0.10642903,0
0.10875402,0
0.11107693,0
0.11339981,0
0.11572478,0
0.11804772,0
0.1203706,0
0.1226956,0
0.1250185,0
0.12734348,0
0.12966638,0
0.13198927,0
0.13431427,0
0.13663715,0
0.13896007,0
0.14128505,0
0.14360795,0
0.14593293,0
0.14825582,0
0.15057872,0
0.15290371,0
0.15522662,0
0.1575495,0
0.1598745,0
0.16219742,0
0.1645224,0
0.16684529,0
0.16916817,0
0.17149317,0
0.17633698,0
0.17866187,0
0.18098477,0
0.18330975,0
0.18563265,0
0.18795555,0
0.19028052,0
0.19260343,0
0.19492633,0
0.19725132,0
0.19957422,0
0.2018992,0
0.2042221,0
0.20654498,0
0.21204912,0
0.21754701,0
0.2217824,0
0.2241053,0
0.22643028,0
0.22875318,0
0.23107817,0
0.23340105,0
0.23572397,0
0.23804895,0
0.24037185,0
0.24269475,0
0.24501972,0
0.24734262,0
0.25288217,0
0.25711758,0
0.26195297,0
0.26427792,0
0.26660083,0
0.2689279,0
0.27125078,0
0.27357578,0
0.27589867,0
0.27822158,0
0.28054657,0
0.28286948,0
0.28519445,0
0.28751735,0
0.28984025,0
0.29216523,0
0.29448815,0
0.29681103,0
0.29913602,0
0.30145893,0
0.30378183,0
0.30610682,0
0.3084297,0
0.31075467,0
0.31307757,0
0.31540048,0
0.31772545,0
0.32004837,0
0.32237337,0
0.32469627,0
0.32701915,0
0.32934413,0
0.33166703,0
0.33398995,0
0.33631493,0
0.33863782,0
0.34347738,0
0.34580027,0
0.34812527,0
0.35044813,0
0.35277105,0
0.35509603,0
0.35741893,0
0.35974393,0
0.36206683,0
0.36438972,0
0.3667147,0
0.36903758,0
0.37399383,0
0.38436457,0
0.40002903,0
0.41899142,0
0.44018293,0
0.4586807,0
0.47689308,0
0.4944117,0
0.51343865,0
0.53523435,0
0.55432378,0
0.57332781,0
0.59027147,0
0.6025318,0
0.61763375,0
0.63534822,0
0.65343143,0
0.6719792,0
0.68982492,0
0.70202483,0
0.71908928,0
0.73751833,0
0.75151828,0
0.76391815,0
0.77994303,0
0.7986054,0
0.81498653,0
0.8319989,0
0.85029255,0
0.86859865,0
0.88774643,0
0.90682755,0
0.92593367,0
0.94706685,0
0.9662313,0
0.98548948,0
1.0046498,0
1.0243392,0
1.0414724,0
1.0607077,0
1.0799117,0
1.0988074,0
1.118899,0
1.1381738,0
1.1573362,0
1.1765507,0
1.1985609,0
1.2139629,0
1.2318919,0
1.2511564,0
1.2704167,0
1.292379,0
1.3115622,0
1.3307996,0
1.3501057,0
1.3720222,0
1.3912367,0
1.409599,0
1.4284155,0
1.44938,0
1.4674236,0
1.4856631,0
1.5002463,0
1.5173212,0
1.5365356,0
1.549948,0
1.5639438,0
1.5773333,0
1.5933602,0
1.6058706,0
1.6178643,0
1.6327516,0
1.6443245,0
1.6592222,0
1.6731471,0
1.6899346,0
1.7054407,0
1.7199885,0
1.7313113,0
1.7455779,0
1.7605882,0
1.7772714,0
1.7926213,0
1.8090358,0
1.825619,0
1.8374856,0
1.8518626,0
1.8642687,0
1.8818582,0
1.8935894,0
1.9057664,0
1.9193038,0
1.9308079,0
1.9465973,0
1.9624368,0
1.9784596,0
1.9951199,0
2.0122239,0
2.0298217,0
2.0464779,0
2.0633111,0
2.0782922,0
2.0951942,0
2.1158857,0
2.1339376,0
2.1533313,0
2.1716291,0
2.189856,0
2.2075996,0
2.2251787,0
2.2430765,0
2.2619972,0
2.2834429,0
2.3029448,0
2.3219259,0
2.3411821,0
2.363509,0
2.3819734,0
2.3979629,0
2.4172232,0
2.4367939,0
2.4547271,0
2.4721978,0
2.491783,0
2.5114559,0
2.5337307,0
2.5514139,0
2.571045,0
2.5906094,0
2.6129405,0
2.6324321,0
2.6520423,0
2.6717359,0
2.694215,0
2.7137482,0
2.7335459,0
2.7532125,0
2.7757019,0
2.7838393,0
2.8033705,0
2.8229328,0
2.8423994,0
2.8646304,0
2.8829949,0
2.9025885,0
2.9198988,0
2.9375362,0
2.9572464,0
2.976813,0
2.9957399,0
3.0152189,0
3.0375563,0
3.0556562,0
3.0753935,0
3.095108,0
3.1059162,0
3.125814,0
3.1456722,0
3.1653908,0
3.1847886,0
3.2070551,0
3.2264966,0
3.2460611,0
3.2660755,0
3.2769108,0
3.2850004,0
3.3047523,0
3.3128836,0
3.3268667,0
3.3316063,0
3.3351875,0
3.3384209,0
3.3458896,0
3.3493166,0
3.3526187,0
3.3559582,0
3.3591124,0
3.3614374,0
3.3637603,0
3.3660831,0
3.3684081,0
3.3731644,0
3.3764602,0
3.3797622,0
3.3914163,0
3.3948101,0
3.3979225,0
3.4139432,0
3.4186495,0
3.4219911,0
3.4255598,0
3.4286806,0
3.432016,0
3.4352077,0
3.4385556,0
3.443193,0
3.4466826,0
3.4583179,0
3.4615908,0
3.4649366,0
3.4697428,0
3.4731178,0
3.4777574,0
3.4811303,0
3.4844573,0
3.4926114,0
3.4959635,0
3.5041322,0
3.5112155,0
3.5186758,0
3.5291549,0
3.539732,0
3.5504194,0
3.5643985,0
3.5784817,0
3.5817129,0
3.5849546,0
3.5920545,0
3.5956024,0
3.5985398,0
3.6067377,0
3.6172751,0
3.6253001,0
3.6359604,0
3.6466291,0
3.6628352,0
3.6662227,0
3.6746268,0
3.6821934,0
3.6893975,0
3.6932058,0
3.6964392,0
3.6987641,0
3.701087,0
3.7034099,0
3.7057349,0
3.7080578,0
3.7103828,0
3.7127057,0
3.7176328,0
3.7215223,0
3.7247223,0
3.7329243,0
3.7400305,0
3.7540221,0
3.7681262,0
3.7790303,0
3.7822865,0
3.7928843,0
3.8009072,0
3.8079217,0
3.8184841,0
3.8266153,0
3.8371507,0
3.8512131,0
3.858761,0
3.8692713,0
3.8833024,0
3.9028585,0
3.9225688,0
3.9307854,0
3.9389562,0
3.9422187,0
3.9453499,0
3.9486603,0
3.9518769,0
3.9551415,0
3.9585394,0
3.966681,0
3.9747018,0
3.9781351,0
3.9814497,0
3.9895871,0
3.9942266,0
4.0013329,0
4.008439,0
4.012039,0
4.0203014,0
4.0237681,0
4.0269681,0
4.0292931,0
4.031616,0
4.0339389,0
4.0362639,0
4.0385868,0
4.0409097,0
4.0432346,0
4.0455575,0
4.0478825,0
4.0561075,0
4.059595,0
4.0629387,0
4.0662033,0
4.0685261,0
4.0732719,0
4.0767636,0
4.079976,0
4.0846823,0
4.0881051,0
4.0917114,0
4.0945405,0
4.0968655,0
4.0991884,0
4.1015113,0
4.1038363,0
4.1061592,0
4.1109425,0
4.1143071,0
4.1175008,0
4.1208466,0
4.1241758,0
4.127382,0
4.1307257,0
4.1339007,0
4.1372006,0
4.1453297,0
4.1569839,0
4.1602171,0
4.164865,0
4.1682129,0
4.17139,0
4.1903211,0
4.1950774,0
4.2021314,0
4.2054314,0
4.208571,0
4.211873,0
4.2152043,0
4.2183688,0
4.2231063,0
4.226498,0
4.2296625,0
4.2329771,0
4.2363104,0
4.2394895,0
4.2428124,0
4.2460228,0
4.2493311,0
4.2526353,0
4.2559915,0
4.259306,0
4.2626498,0
4.2658747,0
4.2681976,0
4.2705226,0
4.2728455,0
4.2751684,0
4.2774934,0
4.2891788,0
4.296185,0
4.3033245,0
4.3067265,0
4.3113682,0
4.3145911,0
4.317939,0
4.3261098,0
4.3295826,0
4.3342263,0
4.3378118,0
4.3415471,0
4.34387,0
4.3487138,0
4.35217,0
4.3556137,0
4.3589658,0
4.3612887,0
4.3661303,0
4.3732907,0
4.380451,0
4.3910781,0
4.394353,0
4.3975717,0
4.4092654,0
4.4199487,0
4.433934,0
4.4448464,0
4.4646025,0
4.4787378,0
4.4904586,0
4.5064835,0
4.5287749,0
4.5404624,0
4.5520331,0
4.5603935,0
4.5634997,0
4.5706351,0
4.5777371,0
4.5847412,0
4.5930849,0
4.6077057,0
4.6109327,0
4.621441,0
4.6331618,0
4.6438513,0
4.647047,0
4.6587366,0
4.6659177,0
4.6776864,0
4.6999717,0
4.7142278,0
4.7261194,0
4.7422339,0
4.75844,0
4.7618317,0
4.7649691,0
4.7697608,0
4.772792,0
4.7798857,0
4.7904981,0
4.7937106,0
4.8018668,0
4.8088459,0
4.8251812,0
4.833402,0
4.8474082,0
4.8547852,0
4.8594268,0
4.8627226,0
4.8660435,0
4.869308,0
4.8741642,0
4.8777558,0
4.8810079,0
4.8833329,0
4.8856558,0
4.8879808,0
4.8903037,0
4.8926266,0
4.8949515,0
4.8972744,0
4.8995974,0
4.9019223,0
4.9042452,0
4.9065702,0
4.9088931,0
4.911216,0
4.9160035,0
4.9195784,0
4.9227514,0
4.9250743,0
4.9298055,0
4.9332034,0
4.9364429,0
4.9446346,0
4.9480116,0
4.9513324,0
4.9544761,0
4.9568011,0
4.959124,0
4.9614469,0
4.9637719,0
4.9660948,0
4.9684177,0
4.9707427,0
4.9730656,0
4.9753906,0
4.9800593,0
4.9907821,0
4.9943133,0
5.0025008,0
5.0130903,0
5.0241069,0
5.0287444,0
5.0402506,0
5.0474026,0
5.0615171,0
5.0720961,0
5.079242,0
5.0822461,0
5.0893606,0
5.0964876,0
5.1036022,0
5.1107501,0
5.1178813,0
5.1210771,0
5.1316395,0
5.1346895,0
5.1379165,0
5.1426061,0
5.149756,0
5.1543956,0
5.1575102,0
5.1681434,0
5.1845183,0
5.1951182,0
5.2111452,0
5.2229701,0
5.2312138,0
5.2452887,0
5.2572261,0
5.2795718,0
5.2827343,0
5.28988,0
5.2968592,0
5.3051799,0
5.3083299,0
5.3113653,0
5.3145528,0
5.322786,0
5.3274256,0
5.3306818,0
5.3389568,0
5.3500358,0
5.3582587,0
5.363015,0
5.3662482,0
5.3708878,0
5.3743128,0
5.3776502,0
5.3808252,0
5.3854669,0
5.3889335,0
5.3920918,0
5.3944147,0
5.3967397,0
5.3990626,0
5.4038001,0
5.4071229,0
5.410448,0
5.4136437,0
5.4159666,0
5.4182916,0
5.4206145,0
5.4244062,0
5.4267291,0
5.429054,0
5.4313769,0
5.4337019,0
5.4360248,0
5.4383477,0
5.4406727,0
5.4429956,0
5.4453185,0
5.4476435,0
5.4499664,0
5.4522914,0
5.4546143,0
5.4569372,0
5.4592622,0
5.4615851,0
5.463908,0
5.4662329,0
5.4685558,0
5.4708808,0
5.4732037,0
5.4755266,0
5.4778516,0
5.4801745,0
5.4824974,0
5.4848224,0
5.4871453,0
5.4894682,0
5.4917932,0
5.4941161,0
5.4964411,0
5.498764,0
5.5010869,0
5.5034118,0
5.5057348,0
5.5096723,0
5.5119951,0
5.5166889,0
5.5202867,0
5.5249242,0
5.5286971,0
5.5318721,0
5.5341971,0
5.5365199,0
5.5411595,0
5.5449365,0
5.548297,0
5.5529365,0
5.5565344,0
5.5598365,0
5.5621614,0
