CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B3_TCDCA_Dny_BSH2_48h.raw
Data points: 2896
Time(min),Relative Abundance
0.003749564,0
0.008366131,0
0.011518231,0
0.013841084,0
0.016166082,0
0.018488982,0
0.020811883,0
0.023136865,0
0.025459766,0
0.027784768,0
0.030107648,0
0.032430549,0
0.034755515,0
0.037078416,0
0.049353384,0
0.053588767,0
0.055911632,0
0.058234532,0
0.060559514,0
0.062882415,0
0.065207401,0
0.067530301,0
0.069853198,0
0.072178184,0
0.074501084,0
0.076826083,0
0.079148967,0
0.081471883,0
0.083796834,0
0.08611975,0
0.088442651,0
0.093278185,0
0.095603,0
0.10117173,0
0.10540505,0
0.10772795,0
0.11005291,0
0.11237581,0
0.11470082,0
0.1170237,0
0.11934662,0
0.1216716,0
0.12399448,0
0.12631738,0
0.12864238,0
0.13096527,0
0.13329025,0
0.13561315,0
0.13793605,0
0.14026103,0
0.14258395,0
0.14490685,0
0.1472318,0
0.14955473,0
0.15187972,0
0.1542026,0
0.15652552,0
0.15885048,0
0.16117338,0
0.16349628,0
0.16582127,0
0.16814417,0
0.1704671,0
0.17279206,0
0.17763995,0
0.17996283,0
0.18228783,0
0.18461072,0
0.18693362,0
0.18925861,0
0.1915815,0
0.19390441,0
0.1962294,0
0.1985523,0
0.20087726,0
0.20320018,0
0.20552306,0
0.20784805,0
0.21335635,0
0.22223753,0
0.22647513,0
0.22879792,0
0.2311229,0
0.23344581,0
0.2357687,0
0.23809367,0
0.24041658,0
0.24274157,0
0.24506448,0
0.24738738,0
0.24971237,0
0.25203527,0
0.25435815,0
0.25920393,0
0.26152685,0
0.26384975,0
0.26617475,0
0.26849763,0
0.27082055,0
0.2731455,0
0.27871213,0
0.28277672,0
0.28509962,0
0.28742458,0
0.2897475,0
0.29207038,0
0.29439537,0
0.29671827,0
0.29904325,0
0.30136617,0
0.30368905,0
0.30601405,0
0.30833695,0
0.31065985,0
0.31298482,0
0.31530773,0
0.3176327,0
0.31995561,0
0.32227851,0
0.3246035,0
0.3269264,0
0.3292493,0
0.33157428,0
0.33389716,0
0.33622218,0
0.33854505,0
0.3433847,0
0.34570752,0
0.34803043,0
0.35035538,0
0.3526783,0
0.35500326,0
0.3573262,0
0.35964908,0
0.36197407,0
0.36429697,0
0.36661985,0
0.37491567,0
0.38869262,0
0.4077029,0
0.4254861,0
0.4463422,0
0.46346708,0
0.4781899,0
0.49721892,0
0.5162688,0
0.53536033,0
0.55448937,0
0.57349963,0
0.59105578,0
0.60780148,0
0.6251222,0
0.64328873,0
0.66138028,0
0.67670723,0
0.6974342,0
0.71338823,0
0.73223188,0
0.747188,0
0.76503787,0
0.78341692,0
0.80202302,0
0.82071665,0
0.8369478,0
0.85780597,0
0.87695375,0
0.89606612,0
0.91187227,0
0.93094297,0
0.95261363,0
0.97193017,0
0.99117587,0
