#FeatureID	FA1b_S36	FA1c_S37	FA2b_S38	FA2c_S39	FA3b_S40	FA3c_S41	FA4b_S42	FA4c_S43	FA5b_S44	FA5c_S45	FA6b_S46	FA6c_S47	FT1b_S48	FT1c_S49	FT2b_S50	FT2c_S51	FT3b_S52	FT3c_S53	FT4b_S54	FT4c_S55	FT5b_S56	FT5c_S57	FT6b_S58	FT6c_S59	NA1a_S1	NA1b_S2	NA1c_S3	NA2a_S4	NA2b_S5	NA2c_S6	NA3a_S7	NA3b_S8	NA3c_S9	NA4a_S10	NA4b_S11	NA4c_S12	NA5a_S13	NA5b_S14	NA5c_S15	NA6a_S16	NA6b_S17	NA6c_S18	NT1a_S19	NT1b_S20	NT1c_S21	NT2a_S22	NT2b_S23	NT2c_S24	NT3b_S25	NT3c_S26	NT4a_S27	NT4b_S28	NT4c_S29	NT5a_S30	NT5b_S31	NT5c_S32	NT6a_S33	NT6b_S34	NT6c_S35
tr|A0A078MD23|A0A078MD23_9BACL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A086Y5K4|A0A086Y5K4_9RHOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A096B1U0|A0A096B1U0_FLAPL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A096DGB7|A0A096DGB7_FLAPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A0B6D4Z4|A0A0B6D4Z4_9GAMM	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A0B8QJU3|A0A0B8QJU3_9VIBR	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A0C1M7G7|A0A0C1M7G7_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A0F5JID4|A0A0F5JID4_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A0F5JLM1|A0A0F5JLM1_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A0H5DPH0|A0A0H5DPH0_9BACT	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
