CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C9_GUDCA_Lgasseri_BSH_48h.raw
Data points: 2848
Time(min),Relative Abundance
0.003801313,0
0.008411732,0
0.011557483,0
0.013880363,0
0.01620535,0
0.018528246,0
0.020851146,0
0.023176113,0
0.025499033,0
0.027821929,0
0.030146916,0
0.032469816,0
0.034794799,0
0.037117683,0
0.046028097,0
0.050265498,0
0.055761313,0
0.059823814,0
0.062148765,0
0.064471681,0
0.066794565,0
0.069119548,0
0.071442464,0
0.073767447,0
0.076090315,0
0.078413247,0
0.080738214,0
0.083061114,0
0.085384046,0
0.087708981,0
0.09254653,0
0.094869382,0
0.097194365,0
0.099517265,0
0.10184223,0
0.10416513,0
0.10648805,0
0.10881303,0
0.11113592,0
0.11345882,0
0.11578383,0
0.11810671,0
0.12043168,0
0.12275461,0
0.1250775,0
0.1274025,0
0.12972536,0
0.13204828,0
0.13437326,0
0.13669616,0
0.13902115,0
0.14134405,0
0.14366695,0
0.14599193,0
0.14831481,0
0.15063773,0
0.15296273,0
0.15528562,0
0.1576106,0
0.1599335,0
0.1622564,0
0.1645814,0
0.16690427,0
0.1692272,0
0.17155216,0
0.17638548,0
0.17870837,0
0.18103335,0
0.18335833,0
0.18568123,0
0.18800621,0
0.1903291,0
0.1926541,0
0.194977,0
0.1972999,0
0.19962488,0
0.2019478,0
0.20427068,0
0.20659567,0
0.21209145,0
0.21758938,0
0.22181851,0
0.2273143,0
0.231556,0
0.2338788,0
0.23620378,0
0.23852671,0
0.24085168,0
0.24317458,0
0.24549748,0
0.24782246,0
0.25014536,0
0.25246825,0
0.25479325,0
0.2596349,0
0.26195778,0
0.26428277,0
0.26660567,0
0.26893063,0
0.27125357,0
0.27357643,0
0.27590142,0
0.27822433,0
0.28054723,0
0.28287222,0
0.28519512,0
0.28752008,0
0.289843,0
0.2921659,0
0.29449088,0
0.29681378,0
0.2991367,0
0.30146165,0
0.30378458,0
0.30610956,0
0.30843245,0
0.31075533,0
0.31308035,0
0.31540325,0
0.31772613,0
0.32005113,0
0.32237401,0
0.324699,0
0.3270219,0
0.32934482,0
0.3316698,0
0.3339927,0
0.3363156,0
0.33864057,0
0.34347386,0
0.34579678,0
0.34812175,0
0.35044467,0
0.35276755,0
0.35509253,0
0.35741543,0
0.35973835,0
0.36206332,0
0.36438622,0
0.3667112,0
0.37180495,0
0.38556523,0
0.40458178,0
0.40925468,0
0.42597537,0
0.44624188,0
0.46405425,0
0.47905207,0
0.49793943,0
0.51697265,0
0.53603708,0
0.55512653,0
0.57417015,0
0.59129922,0
0.60550953,0
0.62037191,0
0.63771345,0
0.65534043,0
0.67206947,0
0.69061308,0
0.70950671,0
0.72244826,0
0.7388044,0
0.7570647,0
0.77477082,0
0.79300615,0
0.81086015,0
0.82808922,0
0.84654742,0
0.8649931,0
0.8841013,0
0.90325533,0
0.92237397,0
0.94382588,0
0.96294658,0
0.98222976,0
1.0014172,0
1.0195191,0
1.0412106,0
1.0587334,0
1.0780041,0
1.0971707,0
1.1153413,0
1.1345433,0
1.1537202,0
1.1729347,0
1.1948887,0
1.2119886,0
1.2312843,0
1.2502029,0
1.2694403,0
1.291363,0
1.31069,0
1.3300356,0
1.349323,0
1.368427,0
1.3877498,0
1.407033,0
1.4252579,0
1.447239,0
1.4654076,0
1.4832012,0
1.500349,0
1.5155885,0
1.5345238,0
1.546455,0
1.5596716,0
1.5728215,0
1.5900484,0
1.6011212,0
1.612717,0
1.6281961,0
1.6400939,0
1.6567334,0
1.6701999,0
1.6868498,0
1.6991664,0
1.7139975,0
1.7283558,0
1.7430098,0
1.759716,0
1.7735742,0
1.788247,0
1.8055448,0
1.822828,0
1.83928,0
1.8529695,0
1.8632673,0
1.8798797,0
1.8932609,0
1.9053233,0
1.9203836,0
1.9333231,0
1.9481105,0
1.9631874,0
1.9792998,0
1.9953081,0
2.0120496,0
2.0282412,0
2.0446785,0
2.0609347,0
2.0781283,0
2.0911574,0
2.1114468,0
2.12978,0
2.1492611,0
2.1675735,0
2.1855963,0
2.2039066,0
2.2214106,0
2.2386793,0
2.2574416,0
2.2787394,0
2.2982872,0
2.3178412,0
2.3373535,0
2.3581951,0
2.3765637,0
2.3922302,0
2.4114239,0
2.4281279,0
2.4462778,0
2.4650401,0
2.4847609,0
2.5040295,0
2.5262835,0
2.5449958,0
2.5645603,0
2.5833456,0
2.6024538,0
2.6247182,0
2.6446035,0
2.6642367,0
2.6839407,0
2.7062614,0
2.7253696,0
2.7451611,0
2.764813,0
2.787065,0
2.8065815,0
2.8262126,0
2.8458771,0
2.8679165,0
2.8874393,0
2.9050579,0
2.9228974,0
2.9403951,0
2.9600221,0
2.9776428,0
2.9972531,0
3.0169259,0
3.0394153,0
3.0572401,0
3.0769921,0
3.0968003,0
3.1165626,0
3.13625,0
3.1558145,0
3.1753227,0
3.1963308,0
3.2159744,0
3.2356535,0
3.2553096,0
3.2661866,0
3.2847448,0
3.2963093,0
3.3080134,0
3.3114634,0
3.3196716,0
3.3233174,0
3.3265966,0
3.3289195,0
3.3312424,0
3.3360236,0
3.3396132,0
3.3435569,0
3.3482777,0
3.3519422,0
3.3549943,0
3.3596839,0
3.3631693,0
3.3714234,0
3.3746546,0
3.377915,0
3.389517,0
3.392892,0
3.3960023,0
3.4075815,0
3.4110231,0
3.4156626,0
3.4191293,0
3.4225792,0
3.4263771,0
3.4311334,0
3.4346229,0
3.4379625,0
3.4402874,0
3.4521499,0
3.4591977,0
3.4673018,0
3.4753768,0
3.4787643,0
3.4904663,0
3.4936163,0
3.5007516,0
3.5112578,0
3.5256139,0
3.5374451,0
3.5445242,0
3.5516263,0
3.5587283,0
3.561995,0
3.5652324,0
3.5683324,0
3.5716324,0
3.5749553,0
3.578124,0
3.586201,0
3.5944384,0
3.601878,0
3.6158842,0
3.6229883,0
3.633734,0
3.6418381,0
3.6464819,0
3.6500089,0
3.6532693,0
3.6616713,0
3.6653859,0
3.6688608,0
3.6774295,0
3.6815066,0
3.6845628,0
3.6868857,0
3.6917774,0
3.6955273,0
3.6988127,0
3.7105814,0
3.7142147,0
3.7173105,0
3.7337042,0
3.7370562,0
3.7453103,0
3.7485165,0
3.7531603,0
3.7564936,0
3.763981,0
3.7672581,0
3.7703914,0
3.7737268,0
3.7769851,0
3.7800788,0
3.7833871,0
3.7864642,0
3.7897954,0
3.7930412,0
3.8092328,0
3.8207702,0
3.8323784,0
3.8519221,0
3.8703365,0
3.8864885,0
3.9027634,0
3.9109675,0
3.918182,0
3.9228237,17983.80859375
3.9302382,0
3.9335715,0
3.9369381,12897.154296875
3.9451443,0
3.9522318,0
3.9555609,0
3.9695983,0
3.9728483,0
3.9762066,9603.90234375
3.9793503,10941.892578125
3.9839899,0
3.9910982,8923.9111328125
3.9992356,9261.275390625
4.0029064,0
4.0103814,7934.75732421875
4.0140855,0
4.0174938,0
4.0198167,0
4.0221396,0
4.0244646,0
4.0267875,0
4.0291104,0
4.0314354,0
4.0337583,0
4.0384645,0
4.0418791,0
4.0452665,0
4.0533873,0
4.0568915,0
4.060129,0
4.0632789,0
4.0665851,0
4.0713413,0
4.0745788,0
4.0779538,0
4.0812413,0
4.0845663,0
4.0879141,0
4.0952704,0
4.0988453,0
4.1019474,0
4.1042703,6607.11669921875
4.1089598,0
4.1123952,0
4.1156973,0
4.1191014,0
4.122366,0
4.1305993,0
4.1339472,0
4.13727,0
4.1420575,0
4.1491929,0
4.1538491,0
4.1643553,0
4.1760302,0
4.1835156,0
4.1866822,0
4.1900238,0
4.1933676,0
4.1965467,0
4.1998904,0
4.2081779,0
4.21168,0
4.215032,0
4.218232,0
4.220557,0
4.2228799,0
4.2252048,0
4.2275278,0
4.2298506,0
4.2321756,0
4.2344985,0
4.2368214,0
4.2391464,0
4.2414693,0
4.2437943,0
4.2519776,0
4.2591171,0
4.2637567,0
4.2670067,0
4.2703108,0
4.2736462,0
4.2767711,0
4.2815607,0
4.284994,0
4.288144,0
4.2928148,0
4.2999398,0
4.3034814,0
4.3068397,0
4.3116292,0
4.315048,0
4.3183813,0
4.3230209,0
4.3266562,0
4.3298104,0
4.3321353,0
4.3344582,0
4.3390978,0
4.3466061,0
4.350179,0
4.3618831,0
4.3760559,9990.8828125
4.3791559,0
4.3824371,0
4.3895829,0
4.392812,0
4.3960328,0
4.4031598,0
4.4136514,0
4.4243284,0
4.4389346,0
4.4505033,0
4.4610219,0
