CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E2_TDCA_Ep_BSH101_48h.raw
Data points: 2823
Time(min),Relative Abundance
0.002818047,0
0.0076513,0
0.010738781,0
0.013063764,0
0.015386664,0
0.017709564,0
0.020034567,0
0.022357447,0
0.024680347,0
0.027005314,0
0.02932823,0
0.031653217,0
0.033976117,0
0.036298997,0
0.048563499,0
0.052796832,0
0.055119716,0
0.057442617,0
0.059767599,0
0.062090499,0
0.064415482,0
0.066738382,0
0.069061282,0
0.071386265,0
0.073709149,0
0.076032066,0
0.078357048,0
0.080679948,0
0.083004931,0
0.085327815,0
0.087650747,0
0.092482034,0
0.094806948,0
0.097129833,0
0.099454831,0
0.10177772,0
0.10410063,0
0.10642561,0
0.10874851,0
0.11107141,0
0.11339638,0
0.1157193,0
0.11804428,0
0.12036716,0
0.12269006,0
0.12501505,0
0.12733798,0
0.12966086,0
0.13198583,0
0.13430875,0
0.13663165,0
0.13895661,0
0.14127953,0
0.1436045,0
0.14592743,0
0.14825033,0
0.1505753,0
0.1528982,0
0.15522108,0
0.15754607,0
0.15986897,0
0.16219397,0
0.16451688,0
0.16683977,0
0.16916476,0
0.17148765,0
0.1763376,0
0.17866052,0
0.1809855,0
0.1833084,0
0.1856313,0
0.18795628,0
0.1902792,0
0.19260208,0
0.19492705,0
0.19724995,0
0.19957495,0
0.20189787,0
0.20422077,0
0.20654571,0
0.21204777,0
0.2175457,0
0.22177485,0
0.22409768,0
0.22642265,0
0.23194346,0
0.23601011,0
0.23833301,0
0.24065798,0
0.24298088,0
0.24530378,0
0.24762876,0
0.24995168,0
0.25227458,0
0.25459955,0
0.25943911,0
0.261762,0
0.264087,0
0.2664099,0
0.26873488,0
0.27105778,0
0.27338068,0
0.27570568,0
0.27802857,0
0.28035145,0
0.28267643,0
0.28499935,0
0.28732433,0
0.28964723,0
0.29197015,0
0.29429513,0
0.29661802,0
0.2989409,0
0.3012659,0
0.3035888,0
0.3059117,0
0.3082367,0
0.31055958,0
0.31288458,0
0.31520746,0
0.31753035,0
0.31985535,0
0.32217825,0
0.32450116,0
0.32682613,0
0.32914903,0
0.33147401,0
0.33379691,0
0.3361198,0
0.33844482,0
0.34327395,0
0.34559893,0
0.34792182,0
0.35024473,0
0.3525697,0
0.35489258,0
0.35721551,0
0.35954048,0
0.3618634,0
0.36418836,0
0.36651125,0
0.37474873,0
0.38852777,0
0.40751721,0
0.4248671,0
0.44588361,0
0.46353975,0
0.47902297,0
0.49735616,0
0.51635812,0
0.53542048,0
0.55449743,0
0.57346605,0
0.58910971,0
0.60247005,0
0.61852411,0
0.63583435,0
0.65450715,0
0.6723591,0
0.68908607,0
0.70390472,0
0.71922545,0
0.73699615,0
0.74997317,0
0.7624439,0
0.77927293,0
0.7982353,0
0.81430185,0
0.83062467,0
0.84842038,0
0.8668244,0
0.8857826,0
0.90496372,0
0.92401358,0
0.94521551,0
0.96451538,0
0.98365273,0
1.0028651,0
1.0225671,0
1.0406086,0
1.0576605,0
1.0768292,0
1.0959416,0
1.1141602,0
1.1333204,0
1.1525828,0
1.1717681,0
1.1925992,0
1.2096074,0
1.2278114,0
1.2458613,0
1.2650841,0
1.2870443,0
1.3063109,0
1.3255337,0
1.3447919,0
1.366725,0
1.384052,0
1.4030894,0
1.4205226,0
1.4424016,0
1.4596994,0
1.4785097,0
1.4944429,0
1.509524,0
1.5273489,0
1.5407676,0
1.55273,0
1.5657778,0
1.580261,0
1.5942568,0
1.6088733,0
1.622342,0
1.6355044,0
1.6515959,0
1.6669417,0
1.6809603,0
1.691754,0
1.7073851,0
1.719658,0
1.7323079,0
1.7487349,0
1.7637577,0
1.7798034,0
1.7933554,0
1.8103282,0
1.8247301,0
1.8411217,0
1.8533112,0
1.8664174,0
1.881486,0
1.8974818,0
1.9111212,0
1.9218233,0
1.9354627,0
1.9527126,0
1.9674417,0
1.9828957,0
2.0004435,0
2.0190413,0
2.0349391,0
2.0468598,0
2.0638972,0
2.0797679,0
2.0961157,0
2.1182302,0
2.1375071,0
2.1569486,0
2.1750277,0
2.1922401,0
2.2096108,0
2.2251419,0
2.2446564,0
2.2621375,0
2.2834727,0
2.3007997,0
2.3204767,0
2.3398911,0
2.3619389,0
2.3785471,0
2.3983199,0
2.4179156,0
2.4364863,0
2.4546778,0
2.4742943,0
2.493965,0
2.5133378,0
2.5347106,0
2.5545146,0
2.5739499,0
2.5923747,0
2.6145558,0
2.6341578,0
2.6536305,0
2.6733471,0
2.6929553,0
2.7124385,0
2.7321133,0
2.7518736,0
2.7715464,0
2.7938296,0
2.8132357,0
2.8328897,0
2.8524417,0
2.8745936,0
2.8930914,0
2.9089725,0
2.9264891,0
2.9460535,0
2.9655346,0
2.9839428,0
3.0034114,0
3.0258342,0
3.0457236,0
3.0637631,0
3.0834046,0
3.1032191,0
3.1231252,0
3.1429125,0
3.1624082,0
3.181881,0
3.2029517,0
3.2225411,0
3.2422764,0
3.2620638,0
3.2702096,0
3.2785303,0
3.2982468,0
3.3185384,0
3.3218321,0
3.3299592,0
3.3336362,0
3.3369362,0
3.3398257,0
3.3421486,0
3.3469361,0
3.3505777,0
3.3537569,0
3.3584465,0
3.3620027,0
3.3651151,0
3.3814234,0
3.3847442,0
3.3880733,0
3.3996941,0
3.4067857,0
3.4137856,0
3.4184252,0
3.4219272,0
3.4257981,0
3.4287814,0
3.4311043,0
3.4334292,0
3.4382834,0
3.4420313,0
3.4452021,0
3.447525,0
3.4558187,0
3.4594207,0
3.4710227,0
3.4757623,0
3.482806,0
3.4899101,0
3.4969684,0
3.5129412,0
3.5238849,0
3.5425222,0
3.5567034,0
3.5638033,0
3.56707,0
3.5703408,0
3.5734887,0
3.5767907,0
3.5801261,0
3.5832844,0
3.6029906,0
3.613853,0
3.6280091,0
3.6445569,0
3.6491965,0
3.6526214,0
3.6560193,0
3.6644255,0
3.6682088,0
3.6765838,0
3.68084,0
3.6837712,0
3.6860941,0
3.6884191,0
3.690742,0
3.693067,0
3.7015628,0
3.7055065,0
3.708744,0
3.7169939,0
3.7311001,0
3.7382105,0
3.7453,0
3.7524062,0
3.7558499,0
3.7632165,0
3.7703206,0
3.7736227,0
3.7807247,0
3.7878247,0
3.7911767,0
3.7944371,0
3.8061079,0
3.8177599,0
3.8338347,0
3.8455388,0
3.8642137,0
3.8837656,0
3.9035468,0
3.9196967,0
3.926732,0
3.9313716,0
3.9345257,0
3.9378924,0
3.9410986,0
3.9444215,0
3.9526006,0
3.9558568,0
3.9592318,0
3.9674213,0
3.9815087,0
3.9848483,0
3.9881524,0
3.992792,0
3.9975482,0
4.0046607,0
4.0083689,0
4.0122397,0
4.016996,0
4.0216334,0
4.0287459,0
4.0324229,0
4.0356479,0
4.0379708,0
4.0402937,0
4.0450333,0
4.0485645,0
4.0517853,0
4.0599186,0
4.0634478,0
4.0667561,0
4.0698685,0
4.0721914,0
4.0745164,0
4.0768393,0
4.0816372,0
4.0849663,0
4.0882601,0
4.0920642,0
4.0948538,0
4.0995266,0
4.103137,0
4.1062933,0
4.1086161,0
4.1109411,0
4.113264,0
4.115589,0
4.1179119,0
4.1261764,0
4.1333285,0
4.1368951,0
4.1401722,0
4.1434493,0
4.1467638,0
4.1585346,0
4.1667157,0
4.1749303,0
4.185976,0
4.1893093,0
4.1939489,0
4.2010363,0
4.2045092,0
4.2076905,0
4.2110071,0
4.2142217,0
4.2174758,0
4.2208779,0
4.224082,0
4.2264049,0
4.2287299,0
4.2310528,0
4.2358298,0
4.2392006,0
4.2425715,0
4.2457214,0
4.2480443,0
4.2562339,0
4.259563,0
4.2628505,0
4.26749,0
4.2707879,0
4.2740733,0
4.2772338,0
4.2806025,0
4.2839066,0
4.2921295,0
4.2992669,0
4.3028586,0
4.3062043,0
4.309496,0
4.3142835,0
4.3179147,0
4.3211063,0
4.3234292,0
4.3257542,0
4.3280771,0
4.33625,0
4.3399395,0
4.3438916,0
4.3487062,0
4.3594269,0
4.3675331,0
4.3815705,0
4.3887329,0
4.3919329,0
4.3990808,0
4.4096911,0
4.4294556,0
4.4518179,0
4.4599887,0
4.4762302,0
4.4958259,0
4.5029529,0
4.5111237,0
4.5220299,0
4.5252007,0
4.5282361,0
4.5362819,0
4.5393298,0
4.542409,0
4.5530609,0
4.5637796,0
4.5670587,0
4.5832545,0
4.5940127,0
4.6084022,0
4.6167563,0
4.62385,0
4.6320375,0
4.6437082,0
4.655529,0
4.6586519,0
4.6770767,0
4.6960516,0
4.7066286,0
4.7262597,0
4.7310222,0
4.7342201,0
4.7413992,0
4.7485429,0
4.7569324,0
4.7604428,0
4.7635219,0
4.7753802,0
4.7870843,0
4.7987717,0
4.8104966,0
4.8174966,0
4.8208799,0
4.8242549,0
4.8274277,0
4.8322715,0
4.8358215,0
4.8391944,0
4.8430944,0
4.8454193,0
4.8477422,0
4.8559651,0
4.8595713,0
4.8628775,0
4.8652004,0
4.8700108,0
4.8737399,0
4.8770378,0
4.8816774,0
4.8851461,0
4.8884211,0
4.9000398,0
4.9036772,0
4.9067772,0
4.9091001,0
4.9114251,0
4.913748,0
4.9160709,0
4.9183959,0
4.9207188,0
4.9247062,0
4.9270291,0
4.929352,0
4.931677,0
4.9339999,0
4.9363249,0
4.9386478,0
4.9409707,0
4.9432957,0
4.9456186,0
4.9479415,0
4.9502665,0
4.9586581,0
4.9623164,0
4.9653643,0
4.9676893,0
4.9700122,0
4.9816996,0
4.9887871,0
5.0027349,0
5.0098035,0
5.0173431,0
5.0244847,0
5.0326222,0
5.0397742,0
5.0468908,0
5.0549616,0
5.0620969,0
5.0652844,0
5.0795031,0
5.0825051,0
5.0930634,0
5.0964905,0
5.0996154,0
5.1078362,0
5.1110716,0
5.1141758,0
5.1174111,0
5.1245527,0
5.129359,0
5.1326715,0
5.1358569,0
5.1391693,0
5.1508942,0
5.1615796,0
5.1648879,0
5.1790711,0
5.1865586,0
5.1971376,0
5.2053313,0
5.2135584,0
5.2254208,0
5.2371124,0
5.253381,0
5.2642851,0
5.2672726,0
5.2720621,0
5.2767517,0
5.2797517,0
5.2829329,0
5.28991,0
5.2930995,0
5.2961349,0
5.2993557,0
5.3064328,0
5.3096973,0
5.317918,0
5.3226743,0
5.3275326,0
5.3346325,0
5.337995,0
5.3415908,0
5.3446804,0
5.347997,0
5.3527699,0
5.3598032,0
5.3632927,0
5.3666969,0
5.3698677,0
5.3745072,0
5.3781301,0
5.3813614,0
5.3836863,0
5.3860092,0
5.3883321,0
5.3906571,0
5.39298,0
5.395305,0
5.4000029,0
5.4036133,0
5.4069841,0
5.4093091,0
5.411632,0
5.4139569,0
5.4162799,0
5.4186028,0
5.4209278,0
5.4232507,0
5.4255735,0
5.4278985,0
5.4302214,0
5.4325464,0
5.4348693,0
5.4371922,0
5.4395172,0
5.4418401,0
5.444163,0
5.446488,0
5.4488109,0
5.4511358,0
5.4534588,0
5.4557817,0
5.4581066,0
5.4604296,0
5.4627525,0
5.4650774,0
5.4674003,0
5.4697253,0
5.4720482,0
5.4743711,0
5.4766961,0
5.479019,0
5.4813419,0
5.486146,0
5.4899919,0
5.4932293,0
5.4955522,0
5.4978772,0
5.5002001,0
5.5025251,0
5.504848,0
5.508948,0
5.5112709,0
5.5135959,0
5.5159187,0
5.5182437,0
5.5205666,0
5.5228895,0
5.5252145,0
5.5275374,0
5.5298603,0
5.5321853,0
5.5345082,0
5.5368332,0
5.5391561,0
5.5440561,0
5.5478331,0
5.5512727,0
5.5535956,0
5.5559185,0
5.5582434,0
5.5605663,0
5.5628913,0
5.5652142,0
5.5702267,0
5.5741767,0
5.5774683,0
5.5797912,0
5.5821141,0
5.5844391,0
5.586762,0
5.589087,0
5.593435,0
5.5957578,0
5.5980807,0
5.6004056,0
5.6027285,0
5.6050515,0
5.6073764,0
5.6096993,0
5.6120243,0
5.6143472,0
5.6166701,0
5.6189951,0
5.621318,0
5.6236409,0
5.6259659,0
5.6282888,0
5.6306138,0
5.6329367,0
5.6352596,0
5.6375846,0
5.6399075,0
5.6422304,0
5.6445553,0
5.6468783,0
5.6492032,0
5.6515261,0
5.656524,0
5.6607219,0
5.663774,0
5.6660969,0
5.6684219,0
5.6707447,0
5.6751072,0
5.6774301,0
5.679753,0
5.682078,0
5.6844009,0
5.6867238,0
5.6890488,0
5.6913717,0
5.6936967,0
5.6960196,0
5.6983425,0
5.7006675,0
5.7029903,0
5.7053132,0
5.7076382,0
5.7099611,0
5.7149507,0
5.7189173,0
5.7222111,0
5.7245339,0
5.7268569,0
5.7291818,0
5.7315047,0
5.7338276,0
5.7361526,0
5.7411693,0
5.745263,0
5.7485546,0
5.7508796,0
5.7532025,0
5.7555254,0
5.759888,0
5.7622128,0
5.7645358,0
5.7668586,0
5.7691836,0
5.7715065,0
5.7738315,0
5.7761544,0
5.7784773,0
5.7808023,0
5.7831252,0
5.7854481,0
5.7877731,0
5.790096,0
5.792421,0
5.7947439,0
5.7970668,0
5.7993918,0
5.8017147,0
5.8040376,0
5.8063625,0
5.8086854,0
5.8110104,0
5.8133333,0
5.8156562,0
5.8179812,0
5.8203041,0
5.822627,0
5.8277478,0
5.8319603,0
5.8349499,0
5.8372727,0
5.8395977,0
5.843929,0
5.8462518,0
5.851333,0
5.8553851,0
5.8586663,0
5.8609892,0
5.8633142,0
5.8656371,0
5.8679621,0
5.870285,0
5.8726079,0
5.8749329,0
5.8772558,0
5.8795808,0
5.8848349,0
5.8889224,0
5.8912453,0
5.8935703,0
5.8958932,0
5.8982161,0
5.9005411,0
5.9028639,0
5.9051889,0
5.9106868,0
5.9149139,0
5.9172368,0
5.9195618,0
5.9218846,0
5.9267243,0
5.9290471,0
5.9313721,0
5.933695,0
5.93602,0
5.9383429,0
5.9406658,0
5.9429907,0
5.9453136,0
5.9476365,0
5.9499615,0
5.9522844,0
5.9546094,0
5.9569323,0
5.9592552,0
5.9615802,0
5.9639031,0
5.966226,0
5.968551,0
5.9708739,0
5.9731989,0
5.9755218,0
5.9778447,0
5.9801696,0
5.9824926,0
5.9848154,0
5.9871404,0
5.9894633,0
5.9917883,0
5.9972841,0
6.0012653,0
6.0035903,0
6.0059132,0
6.0107487,0
6.0130715,0
6.0153944,0
6.0177194,0
6.0200423,0
6.0223673,0
6.0246902,0
6.0270131,0
6.029338,0
6.0316609,0
6.0339838,0
6.0363088,0
6.0416484,0
6.04579,0
6.0488421,0
6.0573337,0
6.0614732,0
6.0645878,0
6.0669107,0
6.0692336,0
6.0715586,0
6.0738815,0
6.0762065,0
6.0812273,0
6.085271,0
6.0886314,0
6.0930918,0
6.0954167,0
6.0977397,0
6.1000625,0
6.1023875,0
6.1047104,0
6.1070333,0
6.1093583,0
6.1116812,0
6.1140062,0
6.1163291,0
6.118652,0
6.120977,0
6.1232999,0
6.1256228,0
6.1279478,0
6.1302707,0
6.1325957,0
6.1349186,0
6.1372415,0
6.1395664,0
6.1418893,0
6.1442122,0
6.1465372,0
6.1488601,0
6.1511851,0
6.153508,0
6.1558309,0
6.1581559,0
6.1604788,0
6.1628038,0
6.1680642,0
6.1720746,0
6.1767642,0
6.1799703,0
6.1822953,0
6.1846182,0
6.1869411,0
6.1892661,0
6.191589,0
6.1939119,0
6.1962369,0
6.1985598,0
6.2008847,0
6.2032076,0
6.2055306,0
6.2078555,0
6.2101784,0
6.2125034,0
6.2148263,0
6.2171492,0
6.2224429,0
6.2265679,0
6.2297096,0
6.2320345,0
6.2343574,0
6.2366803,0
6.2390053,0
6.2413282,0
6.2436511,0
6.2459761,0
6.251251,0
6.2555094,0
6.2601261,0
6.262451,0
6.2676489,0
6.2719092,0
6.275228,0
6.277553,0
6.2798759,0
6.2821988,0
6.2845237,0
6.2868466,0
6.2920612,0
6.2963237,0
6.2994903,0
6.3018153,0
6.3041382,0
6.3064611,0
6.3087861,0
6.311109,0
6.3134319,0
6.3157569,0
6.3180798,0
6.3204048,0
6.3227277,0
6.3250506,0
6.3273756,0
6.3296984,0
6.3320213,0
6.3373713,0
6.3416108,0
6.3462587,0
6.3485837,0
6.3509066,0
6.3532316,0
6.3555545,0
6.3578774,0
6.3632482,0
6.3674419,0
6.3707232,0
6.373046,0
6.3753689,0
6.3776939,0
6.3800168,0
6.3823418,0
6.3846647,0
6.3869876,0
6.3922105,0
6.3963209,0
6.3996521,0
6.4019771,0
6.4043,0
6.406625,0
6.4089479,0
6.4112708,0
6.4135957,0
6.4159186,0
6.4210874,0
6.4255769,0
6.4285519,0
6.4308769,0
6.4331998,0
6.4355227,0
6.4378477,0
6.4401706,0
6.4424956,0
6.4448184,0
6.4471414,0
6.4494663,0
6.4517892,0
6.4541121,0
6.4564371,0
6.45876,0
6.4610829,0
6.4634079,0
6.4657308,0
6.4680558,0
6.4703787,0
6.4727016,0
6.4750266,0
6.4773495,0
6.4796724,0
6.4819974,0
6.4843203,0
6.4866452,0
6.4889681,0
6.491291,0
6.493616,0
6.4959389,0
6.4982618,0
6.5005868,0
6.5029097,0
6.5082368,0
6.5128992,0
6.5152221,0
6.5175471,0
6.51987,0
6.522195,0
6.5245179,0
6.5268408,0
6.5291658,0
6.5314887,0
6.5338116,0
6.5361366,0
6.5384595,0
6.5407844,0
6.5431073,0
6.5454303,0
6.5477552,0
6.5500781,0
6.552401,0
6.554726,0
6.5570489,0
6.562376,0
6.5664843,0
6.5688072,0
6.5711301,0
6.573455,0
6.575778,0
6.5781029,0
6.5804258,0
6.5827488,0
6.5850737,0
6.5904237,0
6.5951007,0
6.5978591,0
6.6001819,0
6.6025069,0
6.6048298,0
6.6071527,0
6.6094777,0
6.6118006,0
6.6141256,0
6.6164485,0
6.6246693,0
6.6385734,0
6.6505129,0
6.6689606,0
6.6793126,0
6.6910688,0
6.7029375,0
6.7100895,0
6.7172207,0
6.7279414,0
6.7325852,0
6.7397185,0
6.7468663,0
6.7540184,0
6.7611683,0
6.7685308,0
6.7715807,0
6.774639,0
6.7817932,0
6.7889389,0
6.8006638,0
6.8053034,0
6.8084034,0
6.8199741,0
6.8271512,0
6.8382532,0
6.8430594,0
6.8464906,0
6.8495968,0
6.8542364,0
6.857326,0
6.8605801,0
6.8636968,0
6.8669801,0
6.8702696,0
6.8735613,0
6.8768675,0
6.8800341,0
6.8833446,0
6.8866737,0
6.8898507,0
6.894507,0
6.8978861,0
6.9025256,0
6.9057527,0
6.9091006,0
6.9122714,0
6.9156005,0
6.9189359,0
6.9221088,0
6.9258171,0
6.9288275,0
6.9334713,0
6.9369921,0
6.9403233,0
6.943542,0
6.9458649,0
6.9481899,0
6.9505128,0
6.9528357,0
6.9551607,0
6.9574836,0
6.9598065,0
6.9621315,0
6.9668648,0
6.9703773,0
6.9737043,0
6.9760293,0
6.9783522,0
6.9830584,0
6.9866355,0
6.9898958,0
6.9946125,0
6.9982875,0
7.0030229,0
7.0068417,0
7.0108832,0
7.0132061,0
7.015529,0
7.017854,0
7.0201769,0
7.0249748,0
7.028731,0
7.0320102,0
7.034333,0
7.0366559,0
7.0389809,0
7.0413039,0
7.0436267,0
7.0459517,0
7.0482746,0
7.0505996,0
7.0529225,0
7.0552454,0
7.0575704,0
7.0598933,0
7.0622183,0
7.0645412,0
7.0668641,0
7.0717557,0
7.0790348,0
7.0830494,0
7.0863869,0
7.0887118,0
7.0910347,0
7.0933576,0
7.0956826,0
7.0980055,0
7.1029034,0
7.1069889,0
7.1101242,0
7.1124492,0
7.1147721,0
7.117095,0
7.1194199,0
7.1217428,0
7.1240678,0
7.1263907,0
7.1287136,0
7.1310386,0
7.1333615,0
7.1356844,0
7.1380094,0
7.1403323,0
7.1426573,0
7.1449802,0
7.1473031,0
7.1496281,0
7.151951,0
7.1542739,0
7.1565988,0
7.1589217,0
7.1640051,0
7.1679946,0
7.1731133,0
7.1774863,0
7.1805862,0
7.1829091,0
7.1852341,0
7.187557,0
7.1898799,0
7.1949319,0
7.1990798,0
7.202436,0
7.204761,0
7.2070839,0
7.2094068,0
7.2117318,0
7.2140547,0
7.2163797,0
7.2187026,0
7.2210255,0
7.2233505,0
7.2256734,0
7.2279963,0
7.2303212,0
7.2326441,0
7.2349692,0
7.237292,0
7.2424045,0
7.2465837,0
7.2498066,0
7.2521294,0
7.2544544,0
7.258894,0
7.2612169,0
7.2635398,0
7.2658648,0
7.2681877,0
7.2733355,0
7.2775585,0
7.2807042,0
7.2830292,0
7.2853521,0
7.287675,0
7.29,0
7.2923229,0
7.2946479,0
7.2969708,0
7.2992937,0
7.3016187,0
7.3039416,0
7.3062645,0
7.3085894,0
7.3109124,0
7.3132373,0
7.3155602,0
7.3178831,0
7.3202081,0
7.322531,0
7.3248539,0
7.3271789,0
7.3295018,0
7.334758,0
7.338833,0
7.3467934,0
7.3508412,0
7.3541725,0
7.3564954,0
7.3588183,0
7.3640057,0
7.3681557,0
7.3713494,0
7.3736723,0
7.3759952,0
7.3783202,0
7.3806431,0
7.382966,0
7.385291,0
7.3876139,0
7.3899389,0
7.3922618,0
7.3945847,0
7.3969097,0
7.3992326,0
7.4015555,0
7.4038804,0
7.4062033,0
7.4112804,0
7.4186887,0
7.4228136,0
7.4271012,0
7.429424,0
7.4344761,0
7.4385718,0
7.4435198,0
7.4476676,0
7.4508114,0
7.4531364,0
7.4554592,0
7.4577822,0
7.4601071,0
7.46243,0
7.4647529,0
7.4670779,0
7.4694008,0
7.4717258,0
7.4740487,0
7.4763716,0
7.4786966,0
7.4810195,0
7.4833424,0
7.4856674,0
7.4879903,0
7.4903152,0
7.4926382,0
7.4949611,0
7.497286,0
7.4996089,0
7.504636,0
7.5089276,0
7.5120693,0
7.5143943,0
7.5167172,0
7.5190421,0
7.521365,0
7.5236879,0
7.5260129,0
7.5283358,0
7.5334504,0
7.5374628,0
7.5408149,0
7.5431378,0
7.5454607,0
7.5477857,0
7.5501086,0
7.5524315,0
7.5547565,0
7.5570794,0
7.5594043,0
7.5617273,0
7.5640501,0
7.5663751,0
7.568698,0
7.5710209,0
7.5733459,0
7.5756688,0
7.5808334,0
7.5850354,0
7.588227,0
7.5927229,0
7.5950458,0
7.5973707,0
