CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_G5_TCA_EcAZ-1-cat_48h.raw
Data points: 2944
Time(min),Relative Abundance
0.003882813,0
0.008501481,0
0.011647247,0
0.01397018,0
0.016295166,0
0.018618046,0
0.020940967,0
0.023265949,0
0.025588865,0
0.02791173,0
0.030236732,0
0.032559632,0
0.034884599,0
0.037207499,0
0.046086648,0
0.050319933,0
0.052642829,0
0.054967796,0
0.057290716,0
0.059613597,0
0.061938583,0
0.064261499,0
0.06658438,0
0.068909382,0
0.071232266,0
0.073557265,0
0.075880149,0
0.078203065,0
0.080528048,0
0.082850932,0
0.085173848,0
0.087498799,0
0.092334198,0
0.094657114,0
0.096982081,0
0.099304997,0
0.10162998,0
0.10395286,0
0.10627578,0
0.10860076,0
0.11092366,0
0.11324655,0
0.11557155,0
0.11789445,0
0.12021733,0
0.12254233,0
0.12486523,0
0.12719022,0
0.1295131,0
0.13183602,0
0.134161,0
0.13648388,0
0.13880888,0
0.14113178,0
0.14345468,0
0.14577966,0
0.14810255,0
0.15042545,0
0.15275045,0
0.15507335,0
0.15739835,0
0.15972123,0
0.16204413,0
0.16436911,0
0.166692,0
0.16901491,0
0.17133988,0
0.17617747,0
0.17850027,0
0.18082525,0
0.18314815,0
0.18547107,0
0.18779602,0
0.19011895,0
0.19244391,0
0.19476681,0
0.19708971,0
0.1994147,0
0.20173761,0
0.2040605,0
0.20638546,0
0.21188126,0
0.21737915,0
0.22161663,0
0.22393953,0
0.22626452,0
0.2285874,0
0.23091032,0
0.23323531,0
0.2355582,0
0.23788318,0
0.24020608,0
0.24252898,0
0.24485396,0
0.24717686,0
0.24949977,0
0.25182473,0
0.25414763,0
0.25898093,0
0.26130385,0
0.26362883,0
0.26595173,0
0.26827463,0
0.27059961,0
0.27292253,0
0.27524543,0
0.27757041,0
0.2798933,0
0.28221828,0
0.28454118,0
0.28686408,0
0.28918905,0
0.29151196,0
0.29383488,0
0.29615985,0
0.29848275,0
0.30080775,0
0.30313065,0
0.30545353,0
0.30777853,0
0.31010141,0
0.31242431,0
0.3147493,0
0.3170722,0
0.3193972,0
0.32172008,0
0.32404301,0
0.32636795,0
0.32869087,0
0.33101377,0
0.33333875,0
0.33566163,0
0.33798663,0
0.34282003,0
0.34514285,0
0.34746575,0
0.34979072,0
0.3521136,0
0.35443861,0
0.3567615,0
0.35908441,0
0.3614094,0
0.36373228,0
0.36605521,0
0.36838018,0
0.37070308,0
0.37563637,0
0.38704045,0
0.40602365,0
0.4106799,0
0.42744017,0
0.4476171,0
0.46537323,0
0.48160228,0
0.49945008,0
0.51848951,0
0.53754357,0
0.55659758,0
0.57563912,0
0.59282443,0
0.60917638,0
0.62536377,0
0.64239698,0
0.66102395,0
0.67843631,0
0.69728203,0
0.71269233,0
0.73047347,0
0.74586083,0
0.76173156,0
0.77921893,0
0.7977063,0
0.81692285,0
0.8327644,0
0.85112885,0
0.86912872,0
0.88829525,0
0.90742011,0
0.92649708,0
0.94779692,0
0.96706761,0
0.98621747,0
1.005434,0
1.0235131,0
1.0417046,0
1.0609753,0
1.0801876,0
1.0993917,0
1.1199186,0
1.1391039,0
1.1583996,0
1.1775703,0
1.1992951,0
1.2161534,0
1.2354241,0
1.2540802,0
1.2759842,0
1.2933716,0
1.3127631,0
1.3319859,0
1.3513378,0
1.3692252,0
