CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\DCA_aminoacids.raw
Data points: 3933
Time(min),Relative Abundance
0.003749803,0
0.008378866,0
0.011530967,0
0.013853851,0
0.016178834,0
0.018501734,0
0.02082465,0
0.023149633,0
0.025472533,0
0.027797484,0
0.030120436,0
0.032443316,0
0.034768302,0
0.037091183,0
0.042589052,0
0.04682457,0
0.049147335,0
0.051472349,0
0.053795234,0
0.056118118,0
0.058443116,0
0.060766033,0
0.063088933,0
0.065413899,0
0.06773682,0
0.070061802,0
0.072384682,0
0.074707583,0
0.077032585,0
0.079355485,0
0.081678366,0
0.084003352,0
0.086326284,0
0.088651251,0
0.093151286,0
0.095476201,0
0.097799086,0
0.100122,0
0.10244695,0
0.10476988,0
0.10709487,0
0.10941775,0
0.11174065,0
0.11406565,0
0.11638855,0
0.11871143,0
0.12103643,0
0.12335933,0
0.1256843,0
0.12800722,0
0.13033012,0
0.13265512,0
0.13497798,0
0.13730092,0
0.13962589,0
0.14194878,0
0.14427377,0
0.14659667,0
0.14891955,0
0.15124455,0
0.15356745,0
0.15589033,0
0.15821535,0
0.16053825,0
0.1628632,0
0.16518612,0
0.16750902,0
0.16983402,0
0.1721569,0
0.17666322,0
0.1789881,0
0.181311,0
0.18363388,0
0.1859589,0
0.18828179,0
0.1906047,0
0.19292967,0
0.19525258,0
0.19757755,0
0.19990047,0
0.20222337,0
0.20454835,0
0.20687122,0
0.21238164,0
0.21661084,0
0.21893365,0
0.22125865,0
0.22358155,0
0.22590445,0
0.22822943,0
0.2305523,0
0.23287524,0
0.23520022,0
0.23752309,0
0.23984808,0
0.24217098,0
0.2444939,0
0.24681887,0
0.24914177,0
0.25146467,0
0.25378965,0
0.25611255,0
0.26061472,0
0.2629396,0
0.2652625,0
0.2675854,0
0.26991039,0
0.27223328,0
0.27455618,0
0.27688117,0
0.27920407,0
0.28152905,0
0.28385193,0
0.28617485,0
0.28849984,0
0.29082272,0
0.29314562,0
0.29547062,0
0.29779352,0
0.30011849,0
0.3024414,0
0.3047643,0
0.30708927,0
0.30941218,0
0.31173507,0
0.31406007,0
0.31638295,0
0.31870795,0
0.32103083,0
0.32335375,0
0.32567873,0
0.32800163,0
0.33032455,0
0.33264952,0
