CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E5_TCA_Ep_BSH101_48h.raw
Data points: 2854
Time(min),Relative Abundance
0.003755382,0
0.008382347,0
0.011534416,0
0.013857316,0
0.016182299,0
0.018505215,0
0.020828115,0
0.023153098,0
0.025475998,0
0.027798882,0
0.030123881,0
0.032446749,0
0.034771763,0
0.037094648,0
0.049365396,0
0.053598713,0
0.055921613,0
0.058246596,0
0.060569496,0
0.062892416,0
0.065217363,0
0.067540279,0
0.069863164,0
0.072188146,0
0.074511066,0
0.076833963,0
0.079158929,0
0.081481849,0
0.083806864,0
0.086129716,0
0.088452632,0
0.093290197,0
0.09561508,0
0.09793798,0
0.10026088,0
0.10258586,0
0.10490876,0
0.10723373,0
0.10955663,0
0.11187956,0
0.11420453,0
0.11652745,0
0.11885033,0
0.12117532,0
0.1234982,0
0.1258232,0
0.1281461,0
0.130469,0
0.13279398,0
0.13511688,0
0.1374398,0
0.13976475,0
0.14208767,0
0.14441266,0
0.14673555,0
0.14905845,0
0.15138342,0
0.15370635,0
0.15602923,0
0.1583542,0
0.16067711,0
0.1630021,0
0.165325,0
0.16764791,0
0.1699729,0
0.17229578,0
0.17713333,0
0.17945823,0
0.18178115,0
0.18410611,0
0.18642901,0
0.18875193,0
0.19107691,0
0.19339981,0
0.19572271,0
0.19804768,0
0.20037058,0
0.20269558,0
0.20501848,0
0.20734136,0
0.21284133,0
0.21833922,0
0.22257253,0
0.22489541,0
0.2272204,0
0.2295433,0
0.23186618,0
0.23739326,0
0.24162865,0
0.24395153,0
0.2462765,0
0.24859941,0
0.2509244,0
0.25324728,0
0.2555702,0
0.26040363,0
0.26272848,0
0.2650514,0
0.26737426,0
0.26969926,0
0.27202216,0
0.27434508,0
0.27667008,0
0.27899295,0
0.28131795,0
0.28364083,0
0.28596373,0
0.28828873,0
0.29061163,0
0.29293453,0
0.29525951,0
0.29758241,0
0.29990738,0
0.3022303,0
0.30455317,0
0.30687816,0
